id,nombre,categoria,n_comparten,marcas_en_grupo,imagen
1515,Tub Cuad Neg 40 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1516,Tub Cuad Neg 50 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1517,Tub Cuad Neg 50 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1518,Tub Cuad Neg 50 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1519,Tub Cuad Neg 50 x 4.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1520,Tub Cuad Neg 75 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1521,Tub Cuad Neg 75 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1522,Tub Cuad Neg 75 x 4.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2219,Tub Cuad Neg 25 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2220,Tub Cuad Neg 25 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2221,Tub Cuad Neg 30 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2222,Tub Cuad Neg 30 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2223,Tub Cuad Neg 40 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2224,Tub Cuad Neg 40 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2225,Tub Cuad Neg 40 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2226,Tub Cuad Neg 50 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2227,Tub Cuad Neg 50 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2228,Tub Cuad Neg 50 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2229,Tub Cuad Neg 50 x 4.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2230,Tub Cuad Neg 75 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2231,Tub Cuad Neg 75 x 3.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
2232,Tub Cuad Neg 75 x 4.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1446,Tirafondo 1/4 x 1 1/2,Fijaciones,19,,https://http2.mlstatic.com/D_Q_NP_2X_966760-MLA104663481827_012026-E.webp
1447,Tirafondo 1/4 x 2,Fijaciones,19,,https://http2.mlstatic.com/D_Q_NP_2X_966760-MLA104663481827_012026-E.webp
1448,Tirafondo 1/4 x 2 1/2,Fijaciones,19,,https://http2.mlstatic.com/D_Q_NP_2X_966760-MLA104663481827_012026-E.webp
1449,Tirafondo 1/4 x 3,Fijaciones,19,,https://http2.mlstatic.com/D_Q_NP_2X_966760-MLA104663481827_012026-E.webp
1450,Tirafondo 1/4 x 3 1/2,Fijaciones,19,,https://http2.mlstatic.com/D_Q_NP_2X_966760-MLA104663481827_012026-E.webp
